Gene,EntrezID,7_C,8_C,9_C,10_C,11_C,12_C,13_C,14_C,15_C,16_I,17_I,18_I,19_I,20_I,21_I,22_I,23_M,24_M,25_M,26_M,27_M,28_M,29_M,30_M,31_S,32_S,33_S,34_S,35_S,36_S,37_S
CFAP45,25790,5.994171,5.854682,6.007586,5.796011,6.111249,5.854941,5.827361,6.079887,6.02355,5.963396,6.673725,6.102899,6.256613,5.830957,5.953384,5.918018,5.977886,5.834437,5.850024,5.862608,6.212276,5.712325,5.923815,6.109584,5.946846,5.994171,6.213664,5.99567,6.186366,6.150574,6.152419
CFAP46,54777,4.931761,5.028472,4.763866,4.740904,4.8645,5.09832,5.151773,4.888473,4.947785,5.102942,5.037572,5.023089,5.003835,4.677704,4.836805,5.367519,5.341549,5.18448,5.046391,5.193506,5.071594,4.855105,5.220459,5.087918,5.021528,4.882165,5.238393,4.78412,5.199616,5.028472,5.212916
CFAP69,79846,6.292354,6.39168,6.306715,6.46673,6.186912,6.350931,6.39168,6.283921,6.277849,6.465256,6.870931,6.445861,6.571504,6.39168,6.299308,6.587127,6.483401,6.399763,6.264824,6.626651,6.328923,6.153626,6.262771,6.210807,6.249766,6.387362,6.586254,6.483491,6.604238,6.501154,6.333717
CFAP70,118491,6.816648,6.675191,6.800539,6.493895,6.760226,6.617942,6.626735,6.844577,6.752262,6.681594,6.983537,6.482442,6.701687,6.69517,6.595044,6.767477,6.695634,6.675313,6.579317,6.708747,6.673287,6.698276,6.837449,6.70988,6.930372,6.671672,7.098111,6.717124,6.843,6.869162,6.658859
CFAP74,85452,6.482584667,6.334427333,6.558686667,6.338973333,6.492784333,6.411899333,6.551514,6.710165667,6.681639333,6.774001,6.794133667,6.431813,6.619214,6.407529667,6.348453,6.737865667,6.605340333,6.471818333,6.531010667,6.624754,6.423105,6.318708,6.430757667,6.566920667,6.596145667,6.364352667,7.055265,6.795119667,6.671714333,6.772566,6.410168667
CFAP94,55259,3.968688,3.868292,4.125376,3.943176,3.896671,3.830985,4.184597,3.930851,3.909471,3.924327,4.09697,3.969988,4.236382,3.882051,3.848098,3.905323,4.135053,3.979569,3.980863,4.007157,3.788988,4.024733,3.84777,3.931789,3.940532,3.720252,3.915971,3.955687,4.23292,4.084123,4.166706
CFB,629,6.4844345,6.152622,6.221407,6.0691755,6.565285,6.2889525,6.245743,6.4874525,6.6654825,6.1720655,7.2229595,6.085003,6.311483,6.3965975,6.467027,6.4433545,6.642247,6.4191215,6.6013245,6.2482345,6.4011065,6.368409,6.449972,6.5252755,6.2775235,6.1076435,6.650501,6.399499,6.3979705,6.401426,6.160254
CFD,1675,6.04849,6.020367,6.486615,5.721881,5.908037,5.995199,5.786911,6.148133,5.64358,6.479084,6.552288,5.546511,5.837416,5.827399,5.995199,5.897822,6.263267,6.03703,6.135302,6.009119,5.689552,5.764773,6.391254,6.124628,6.284931,5.869513,6.189161,6.309159,5.995199,6.322552,5.740943
CFDP1,10428,6.648464,6.9419955,6.9187655,6.926223,6.765818,6.8484485,6.717139,6.8784905,6.424636,6.819205,6.1111925,6.7541,6.641467,6.8454715,6.6888065,6.6986405,6.837611,6.8208355,6.8322845,6.751528,6.599508,6.6309985,6.9298015,6.832102,6.96376,6.649121,6.412105,6.4803615,6.4514645,6.4301645,6.503694
CFH,3075,4.900338,4.680987,4.841094,4.49074,4.673948,4.679522,4.589516,4.963854,5.413676,4.924489,5.10376,4.435454,4.869025,4.452513,4.873587,4.78358,5.047878,4.702316,4.647248,4.688353,4.906523,4.897462,5.394249,4.765528,5.064381,5.594564,5.029806,4.794555,5.002507,5.10351,4.591761
