,gene/TF,region
2041338,SOX21,Hippocampus
2041346,SPI1,Hippocampus
2041383,SREBF1,Hippocampus
2041427,NFYA,Hippocampus
2135260,BATF,Hippocampus
2135302,MITF,Hippocampus
2135311,MYBL1,Hippocampus
2135339,REST,Hippocampus
2135444,SPIB,Hippocampus
2135470,YY1,Hippocampus
2135519,MLX,Hippocampus
2135524,MAFK,Hippocampus
2152369,CENPB,Hippocampus
2152429,FOXG1,Hippocampus
2152465,HLF,Hippocampus
2152489,IRF5,Hippocampus
2152597,RBPJ,Hippocampus
2152794,TGIF1,Hippocampus
2287171,BACH2,Hippocampus
2287247,VSX1,Hippocampus
2287285,IRF8,Hippocampus
2287311,MEIS2,Hippocampus
2542657,CEBPD,Hippocampus
2542697,FOXK2,Hippocampus
2542987,MAF,Hippocampus
2543165,SP2,Hippocampus
2543205,PKNOX1,Hippocampus
2543219,MSX2,Hippocampus
2640681,BHLHE41,Hippocampus
2640772,NR2F2,Hippocampus
2640809,OLIG2,Hippocampus
2640907,TEF,Hippocampus
2641109,MAX,Hippocampus
2641163,HESX1,Hippocampus
2641171,STAT2,Hippocampus
2641233,HOXD13,Hippocampus
2795008,FLI1,Hippocampus
2795010,JUND,Hippocampus
2795011,LHX2,Hippocampus
2795013,SIX2,Hippocampus
5079,HNF1A,LTL
5080,MAFG,LTL
5082,RXRA,LTL
5084,SCRT1,LTL
5087,SOX8,LTL
5089,STAT2,LTL
5093,ZBTB18,LTL
14693,FOXP1,LTL
14694,IRF7,LTL
14696,MEF2A,LTL
14698,TCF3,LTL
39176,MEF2D,LTL
39177,ONECUT2,LTL
39179,PPARG,LTL
39180,SMAD3,LTL
68779,SPI1,LTL
68783,TP53,LTL
68788,RELB,LTL
73989,IRF3,LTL
73990,MAFK,LTL
73993,MEF2C,LTL
73995,ZNF282,LTL
75058,ELF1,LTL
75059,TFAP2A,LTL
84466,POU3F3,LTL
91866,FOXP2,LTL
91867,HSF2,LTL
91873,RREB1,LTL
91878,TP73,LTL
101436,HNF4A,LTL
101453,MTF1,LTL
101455,PROX1,LTL
101456,SP1,LTL
101459,TBR1,LTL
102148,BACH2,LTL
102150,EGR3,LTL
111547,HSF4,LTL
111557,PBX1,LTL
112794,GLI2,LTL
112795,LEF1,LTL
112811,NFKB2,LTL
112837,TCF7L1,LTL
112845,TEAD3,LTL
136267,PRDM1,LTL
136268,JUNB,LTL
149448,E2F3,LTL
149453,PKNOX1,LTL
149457,PPARA,LTL
149459,TGIF2,LTL
2509,IL6,DLPFC
6756,DENND4C,DLPFC
12090,CRIP3,DLPFC
13302,PER2,DLPFC
17650,HES6,DLPFC
19232,MYBPC1,DLPFC
23706,GPS2,DLPFC
27782,NFATC4,DLPFC
32104,MT1G,DLPFC
46691,ATP6V0E1,DLPFC
48499,LTBP1,DLPFC
53057,ANTXR2,DLPFC
53433,FAM153C,DLPFC
64312,FOLH1,DLPFC
68557,ITGA7,DLPFC
68699,ANKRD6,DLPFC
86926,SMYD2,DLPFC
89840,ATP5L,DLPFC
92213,ZC3H18,DLPFC
98787,VAV1,DLPFC
99584,CNKSR3,DLPFC
108523,TAZ,DLPFC
110978,FES,DLPFC
124128,SEC62,DLPFC
131775,EFCAB1,DLPFC
174263,CSF3,DLPFC
188522,HOPX,DLPFC
191738,APP,DLPFC
193982,AGL,DLPFC
210992,CDK14,DLPFC
239400,BRIP1,DLPFC
251817,ERH,DLPFC
283240,TGFBI,DLPFC
283698,ABCD4,DLPFC
294886,PLA2G4C,DLPFC
297191,PRPF39,DLPFC
298616,THBS2,DLPFC
305235,HSD17B6,DLPFC
314151,CASP7,DLPFC
318461,MED24,DLPFC
323001,ZDHHC11,DLPFC
328707,BIVM-ERCC5,DLPFC
330616,MAN2A2,DLPFC
338827,C21orf91,DLPFC
340360,PLA1A,DLPFC
341923,ZNF93,DLPFC
349678,TAF1C,DLPFC
352945,CTU2,DLPFC
356579,GJB6,DLPFC
359246,HSF4,DLPFC
366454,ATP10A,DLPFC
369300,TRIQK,DLPFC
369603,TENM4,DLPFC
374321,MPP1,DLPFC
377457,CPOX,DLPFC
405283,HCST,DLPFC
412371,PRKCSH,DLPFC
418524,RPH3A,DLPFC
434237,FKBP1C,DLPFC
434336,ARRDC4,DLPFC
444057,TOP1MT,DLPFC
445964,BMP4,DLPFC
459428,COBLL1,DLPFC
468382,CAV2,DLPFC
481191,RGS7,DLPFC
484902,CTSS,DLPFC
492316,YPEL3,DLPFC
505056,CA2,DLPFC
507668,RPS10-NUDT3,DLPFC
509071,LRP2,DLPFC
509331,TJAP1,DLPFC
520871,LIMD2,DLPFC
533496,NAV2,DLPFC
534288,MAPKAPK2,DLPFC
536414,RAPH1,DLPFC
550050,HIST2H2BF,DLPFC
552005,GSTM1,DLPFC
555037,NPHP1,DLPFC
556778,EMP3,DLPFC
557287,CCDC167,DLPFC
557383,CHML,DLPFC
560465,PLOD3,DLPFC
562036,PAM,DLPFC
577557,BCL6,DLPFC
583448,SLC25A16,DLPFC
585870,ISCA2,DLPFC
590506,ECHDC2,DLPFC
601578,CSTF3,DLPFC
608348,A2M,DLPFC
612569,MET,DLPFC
621438,RFPL3S,DLPFC
626484,GRB10,DLPFC
627147,RAPGEF6,DLPFC
654165,CLDN11,DLPFC
660898,ZNF358,DLPFC
676407,MIA,DLPFC
678658,SAFB2,DLPFC
678745,PHACTR4,DLPFC
682925,LRFN5,DLPFC
692925,USMG5,DLPFC
702174,HMGB3,DLPFC
707166,ZSWIM8,DLPFC
725695,LAMB3,DLPFC
738532,RCC1,DLPFC
752627,PRSS53,DLPFC
761240,FBXL16,DLPFC
762204,DUSP9,DLPFC
776391,ABHD4,DLPFC
780334,L3MBTL1,DLPFC
790809,FAM107B,DLPFC
813210,ATP5J,DLPFC
827278,RPL27,DLPFC
830007,G0S2,DLPFC
836401,EML2,DLPFC
844928,ATP5G1,DLPFC
859509,BDNF,DLPFC
861126,TOMM6,DLPFC
879455,OARD1,DLPFC
882435,PRPF19,DLPFC
890070,C1QA,DLPFC
893885,RHBDD1,DLPFC
896342,CSF1,DLPFC
923285,NME7,DLPFC
939383,RPS7,DLPFC
962390,KCNJ2,DLPFC
965907,RPL7,DLPFC
994203,TTYH2,DLPFC
998687,RPS3,DLPFC
1000595,HSD11B1L,DLPFC
1000918,CD55,DLPFC
1016290,NFKBIA,DLPFC
1021980,RPS12,DLPFC
1039780,WDR90,DLPFC
1041363,TIMM9,DLPFC
1042924,RPS14,DLPFC
1043781,MOSPD3,DLPFC
1053152,SEC61G,DLPFC
1062101,TLCD1,DLPFC
1064891,SNX32,DLPFC
1065726,RPL23A,DLPFC
1066281,LYPD6,DLPFC
1078225,GEM,DLPFC
1091976,ACYP1,DLPFC
1114313,KCMF1,DLPFC
1127723,NDUFS3,DLPFC
1143141,KRT17,DLPFC
1151919,SPAG16,DLPFC
1153711,DNAJA4,DLPFC
1159533,FOS,DLPFC
1160192,TRAF4,DLPFC
1168452,SERPINH1,DLPFC
1173158,TRPM7,DLPFC
1178231,RPS26,DLPFC
1180782,RELN,DLPFC
1201118,MMP14,DLPFC
1212975,RND3,DLPFC
1224910,HMOX1,DLPFC
1233891,SERF2,DLPFC
1240208,RPL32,DLPFC
1252096,PLXNC1,DLPFC
1254928,TMEM109,DLPFC
1290492,APEX1,DLPFC
1291248,PTPN13,DLPFC
1299259,PPP2R1B,DLPFC
1307318,SEMA7A,DLPFC
1311591,ARHGAP24,DLPFC
1316699,TMEM126A,DLPFC
1318301,APLNR,DLPFC
1339054,PPP1R14A,DLPFC
1343978,RPL28,DLPFC
1344697,SOCS6,DLPFC
1348196,ZNF442,DLPFC
1404436,SGK1,DLPFC
1407285,COX7C,DLPFC
1428179,WDR83OS,DLPFC
1441491,RTN4RL2,DLPFC
1443088,CLK3,DLPFC
1473047,SLC17A7,DLPFC
1512202,LRRK1,DLPFC
1524715,IL18BP,DLPFC
1532949,CKB,DLPFC
1573560,APLN,DLPFC
1582979,LOXL2,DLPFC
1586224,HEY1,DLPFC
1590236,SMTN,DLPFC
1601126,NBPF20,DLPFC
1608854,MSRB1,DLPFC
1619006,DSE,DLPFC
1619189,VPS29,DLPFC
1627621,NDUFB3,DLPFC
1651952,NINJ2,DLPFC
1654975,SUB1,DLPFC
1657633,DNAJB1,DLPFC
1663259,HDAC6,DLPFC
1669736,SIDT1,DLPFC
1671821,KCNA1,DLPFC
1697171,ZNF92,DLPFC
1705524,RGS20,DLPFC
1709704,TEAD4,DLPFC
1713062,SATB1,DLPFC
1716167,INPP4B,DLPFC
1732960,HMBOX1,DLPFC
1748286,MED20,DLPFC
1749488,GLP2R,DLPFC
1751222,CRTAP,DLPFC
1751975,NPC1,DLPFC
1762945,STARD13,DLPFC
1770437,NDUFB7,DLPFC
1773299,ADAMTS1,DLPFC
1773955,CHD9,DLPFC
1785747,TTC3,DLPFC
1792499,BOLA3,DLPFC
1794870,CERS2,DLPFC
1798995,NDUFA12,DLPFC
1806554,ROS1,DLPFC
1813883,SART3,DLPFC
1816505,RPL27A,DLPFC
1836829,CD82,DLPFC
1837860,RPS15A,DLPFC
1850885,CACYBP,DLPFC
1852408,KIAA1324L,DLPFC
1852810,ABCB1,DLPFC
1857909,NHEJ1,DLPFC
1863938,NFKBIZ,DLPFC
1868757,PCSK1N,DLPFC
1881129,LY96,DLPFC
1883413,COLGALT1,DLPFC
1885659,UQCC1,DLPFC
1894407,ZBBX,DLPFC
1905266,ACVR1C,DLPFC
1914858,PIGA,DLPFC
1920021,PSMA2,DLPFC
1931142,ST18,DLPFC
1948236,ANGPTL4,DLPFC
1960147,MBD6,DLPFC
1976564,KAT6A,DLPFC
1977293,STOX1,DLPFC
1983422,S100A13,DLPFC
2005980,C3,DLPFC
2010437,KCNH8,DLPFC
2014120,IMMP1L,DLPFC
2016344,HNRNPA1,DLPFC
2027120,RPL26,DLPFC
2027690,ST6GAL2,DLPFC
2045945,SPP1,DLPFC
2047436,CA5B,DLPFC
2056575,C1R,DLPFC
2058755,RASGEF1B,DLPFC
2063566,ELAVL2,DLPFC
2108227,EFHD1,DLPFC
2120003,PRPS1,DLPFC
2120881,LSM5,DLPFC
2152751,BCL2L2-PABPN1,DLPFC
2169998,CADPS2,DLPFC
2183321,MOBP,DLPFC
2187508,FGFR1,DLPFC
2205735,NR4A2,DLPFC
2206747,ALG12,DLPFC
2208642,ZFPL1,DLPFC
2216320,UQCR10,DLPFC
2223350,HHIP,DLPFC
2242425,AP1S2,DLPFC
2266415,SLC32A1,DLPFC
2283626,PPP1R12A,DLPFC
2290943,SF3A2,DLPFC
2293394,SEC24D,DLPFC
2300173,ASGR1,DLPFC
2310949,UBXN11,DLPFC
2323086,ITGA10,DLPFC
2330058,PLOD2,DLPFC
2341282,EXOC6,DLPFC
2342009,MPZL2,DLPFC
2342096,SEZ6L,DLPFC
2346822,TYK2,DLPFC
2349507,TRIP10,DLPFC
2354482,PFKP,DLPFC
2363993,MLLT10,DLPFC
2367417,CKS1B,DLPFC
2367527,ZNF131,DLPFC
2383949,ANLN,DLPFC
2387853,IRF2,DLPFC
2390274,NRP2,DLPFC
2394551,ALDH1A1,DLPFC
2402842,CXCR4,DLPFC
2420068,CDH8,DLPFC
2430374,DPYD,DLPFC
2434484,PNP,DLPFC
2438398,SOSTDC1,DLPFC
2441972,PLSCR4,DLPFC
2448945,DVL2,DLPFC
2457267,GLCCI1,DLPFC
2466226,DNAJB6,DLPFC
2477112,NAMPT,DLPFC
2478907,MMD2,DLPFC
2482364,PPFIBP2,DLPFC
